"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
123.000000,0.00000,,"Airports Airfield Operations",Statewide,"Common Traffic Advisory Frequency","HDH CTAF",CSQ,,AM,,Aircraft
123.050000,0.00000,,"Airports Airfield Operations",Statewide,"Helicopter Ramp","LIH Heli Ramp",CSQ,,AM,,Aircraft
123.800000,0.00000,,"Airports Airfield Operations",Statewide,"Ground VHF","JRF Ground VHF",CSQ,,AM,,Aircraft
124.100000,0.00000,,"Airports Air Traffic Control",Statewide,"Approach/Departure VHF (HCF Center)","NGF App/Dep VHF",CSQ,,AM,,Aircraft
124.100000,0.00000,,"Airports Air Traffic Control (HCF Center)",Statewide,"Approach/Departure VHF","MKK App/Dep VHF",CSQ,,AM,,Aircraft
124.700000,0.00000,,"Airports Airfield Operations",Statewide,"ATIS VHF","BSF ATIS VHF",CSQ,,AM,B,Aircraft
124.800000,0.00000,,"Airports Air Traffic Control",Statewide,Departure,Departure,CSQ,,AM,BM,Aircraft
124.800000,0.00000,,"Airports Air Traffic Control",Statewide,"Class B","Class B",CSQ,,AM,BM,Aircraft
125.000000,0.00000,,"Airports Air Traffic Control",Statewide,"Approach/Departure VHF (Kaneohe)","NGF App/Dep VHF",CSQ,,AM,,Aircraft
125.200000,0.00000,,"Airports Range Control",Statewide,VHF,"BSF Range VHF",CSQ,,AM,BM,Military
125.300000,0.00000,,"Airports Air Traffic Control",Statewide,"SHAKA Ops","SHAKA Ops",CSQ,,AM,BM,Aircraft
125.300000,0.00000,,"Airports Base Operations",Statewide,"Shaka Ops VHF","HIK ShakaOps VHF",CSQ,,AM,,Military
125.300000,0.00000,,"Airports Airline Operations",Statewide,"Hickham - Command Post","Hickham - Co",CSQ,,AM,BM,Military
125.700000,0.00000,,"Airports Airfield Operations",Statewide,Tower,"MKK Tower",CSQ,,AM,,Aircraft
126.000000,0.00000,,"Airports Air Traffic Control (HCF Center)",Statewide,"Approach/Departure VHF","KOA App/Dep VHF",CSQ,,AM,BM,Aircraft
126.000000,0.00000,,"Airports Air Traffic Control (HCF Center)",Statewide,"Approach/Departure VHF","HNM App/Dep VHF",CSQ,,AM,,Aircraft
126.000000,0.00000,,"Airports Air Traffic Control (HCF Center)",Statewide,"Approach/Departure VHF","BSF App/Dep VHF",CSQ,,AM,BM,Aircraft
126.200000,0.00000,,"Airports Airport ATC",Statewide,Tower,"Tower VHF",CSQ,,AM,BM,Aircraft
126.300000,0.00000,,"Airports Airfield Operations",Statewide,"Tower VHF","BSF Tower VHF",CSQ,,AM,BM,Aircraft
126.400000,0.00000,,"Airports Airfield Operations",Statewide,ATIS,"ITO ATIS",CSQ,,AM,BM,Aircraft
